Informazioni cronologiche	I agree to participate in the research study. I understand the purpose and nature of this study and I am participating voluntarily. I grant permission for the data generated from this interview to be used in the researcher's publications on this topic. 	Age	Gender	Country where you work	Type of Mental Health Service	Type of Mental Health Professional	Is your area provided with an electronic health record?	Was your normal practice disrupted during the emergency?	If yes, which was the main reason for such disruption?	If yes, how much was your practice affected?	How have you provided mental health care DURING the emergency?	Which of the following tools have you used DURING the emergency to provide mental health care?	Which of the following services have you provided using telecommunications DURING the emergency ?	Were telecommunication tools available in your Mental Health Service?	What percentage of your mental health care have you provided using telecommunications DURING the emergency?	Have you found telepsychiatry useful to reach out and support patients DURING the emergency?	How did you use to provide mental health care BEFORE the emergency?	Which of the following tools were you using BEFORE the emergency to provide mental health care?	Which of the following services were you providing using telecommunications BEFORE the emergency ?	What percentage of your mental health care were you providing using telecommunications BEFORE the emergency?	Did you find telepsychiatry useful to reach out and support patients BEFORE the emergency?	Which age do you think telepsychiatry is mostly suited to?	Which of the following groups would benefit the most from telepsychiatry in your opinion?	Which of the following disorders would you treat using telepsychiatry?	Telepsychiatry is widely implemented in my Country	Telepsychiatry is expensive	Telepsychiatry is as valid, accurate and effective as face-to-face care	Telepsychiatry allows to establish a good doctor-patient relationship	Telepsychiatry allows to save time and fits well into my daily schedule	Telepsychiatry is advantageous on the patient side as it reduces the need for time off work, childcare services, etc. to access appointments	Telepsychiatry comes with confidentiality issues that limit its employ	Telepsychiatry improves access to mental health specialty care that might not otherwise be available	Telepsychiatry reduces the barrier of stigma	I am enough prepared to use telecommunications in my practice	I am satisfied with the care I am able to provide using telepsychiatry
03/06/2020 14.24.47	Yes	31-40	Female	India	Private medical college that includes inpatients, outpatients and teaching	Adult psychiatrist, Old age psychiatrist, Child & adolescent psychiatrist	No	Yes	Lockdown	5	Exclusively face-to-face	Chat (Whatsapp, Telegram etc), Emergency services were open	Assessing/Monitoring patients already under my care	No, I have used personal tools on my own initiative	Less than 25%	3	Exclusively face-to-face	Emergency services in the college	Managing mental health emergency	Less than 25%	2	Adult	Any	Any	1	3	1	2	3	3	2	4	5	5	2
03/06/2020 14.44.14	Yes	31-40	Male	France	Public mental health outpatient clinic	Adult psychiatrist	Yes	Yes	Lockdown	5	Exclusively remotely, using telecommunications	Phone (calls, texts), e-mail	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription	No, I have used personal tools on my own initiative	Less than 25%	4	Mixed, mostly face-to-face	Phone (calls, texts), e-mail, Electronic health record	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	Less than 25%	3	Child and adolescent, Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Autism spectrum disorders, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder	2	2	3	3	4	4	2	4	4	2	3
04/06/2020 12.36.43	Yes	31-40	Male	Brazil	Private mental health clinic	Adult psychiatrist	No	Yes	Lockdown	10	Exclusively remotely, using telecommunications	Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	No, I have used personal tools on my own initiative	More than 75%	5	Exclusively face-to-face	Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	Less than 25%	5	Child and adolescent, Adult, Elderly, Any	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Patients belonging to minority groups, Caregivers of patients suffering with chronic conditions, Patients in school settings, Any	Any	1	3	5	5	5	5	1	5	5	5	5
04/06/2020 13.19.07	Yes	>60	Female	Brazil 	Private mental health clinic	Psychologist, Psychotherapist, Psychoanalyst, Social worker	I do not know	Yes	Lockdown	5	Exclusively remotely, using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Provide consultation to primary care/other specialist, Require consultation from other specialists, Synchronous psychoterapy, Psycho-social rehabilitation	No, I have used personal tools on my own initiative	More than 75%	5	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing		Less than 25%	2	Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Bipolar disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Personality disorders, Eating disorders, Neurocognitive disorders, Any	4	2	3	4	4	4	4	4	4	5	5
04/06/2020 13.23.18	Yes	>60	Male	Brazil	Private mental health clinic	Adult psychiatrist, Psychoanalyst	Yes	Yes	Lockdown	9	Exclusively remotely, using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy, Asynchronous psychotherapy	No, I have used personal tools on my own initiative	More than 75%	5	Exclusively face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Require consultation from other specialists, Drug therapy monitoring	Less than 25%	3	Child and adolescent, Adult, Elderly	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Patients belonging to minority groups, Caregivers of patients suffering with chronic conditions, Patients in school settings	Autism spectrum disorders, ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Eating disorders, Neurocognitive disorders	1	3	3	3	5	4	4	5	4	4	4
04/06/2020 13.24.32	Yes	41-50	Female	Brazil	Public mental health outpatient clinic	Psychologist, Psychotherapist	I do not know	No			Mixed, mostly remotely using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing, e-mail	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Provide grief therapy	No, I have used personal tools on my own initiative	More than 75%	5	Mixed, mostly face-to-face	Chat (Whatsapp, Telegram etc), Skype	Assessing/Monitoring recent onset-patients, Synchronous psychoterapy	Less than 25%	3	Adult, Adolescent	Any	Depressive disorders, Bipolar disorders, Panic disorder, Social anxiety, Post-traumatic stress disorder, Eating disorders	2	3	3	3	5	4	2	3	4	5	5
04/06/2020 13.34.43	Yes	41-50	Female	Brazil	Public mental health outpatient clinic	Psychologist	No	Yes	Block of outpatient services	10	Exclusively remotely, using telecommunications	Videoconferencing	Synchronous psychoterapy	No, I have used personal tools on my own initiative	25-50%	5	Exclusively face-to-face	Phone (calls, texts)	Synchronous psychoterapy	51-75%	2	Adult, Elderly	Any	Depressive disorders, Bipolar disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Substance use disorders, Behavioral addictions, Eating disorders	1	1	3	3	3	4	2	4	3	5	4
04/06/2020 13.50.48	Yes	31-40	Female	Brazil	Private mental health clinic	Adult psychiatrist	Yes	Yes	Block of outpatient services	7	Exclusively remotely, using telecommunications	Chat (Whatsapp, Telegram etc), Videoconferencing, e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Exclusively face-to-face					Child and adolescent, Adult	Any	ADHD, Depressive disorders, Bipolar disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Behavioral addictions, Personality disorders, Eating disorders	4	3	5	5	5	5	4	5	5	5	5
04/06/2020 14.35.14	Yes	>60	Male	Brasil	Private mental health clinic	Psychologist	No	Yes	Block of outpatient services	8	Exclusively remotely, using telecommunications	Chat (Whatsapp, Telegram etc)	Require consultation from other specialists, Assessing/Monitoring patients already under my care, Synchronous psychoterapy	No, I have used personal tools on my own initiative	51-75%	5	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Assessing/Monitoring patients already under my care	Less than 25%	4	Adult	Any	Autism spectrum disorders, ADHD, Depressive disorders, Bipolar disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Personality disorders, Eating disorders	2	1	2	4	4	4	3	2	3	3	4
04/06/2020 15.12.46	Yes	31-40	Male	Brazil	Private mental health clinic	Adult psychiatrist	Yes	Yes	Block of outpatient services	7	Exclusively remotely, using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	No, I have used personal tools on my own initiative	More than 75%	5	Exclusively face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Drug therapy monitoring	Less than 25%	2	Adult	Patients in assisted living facilities, Patients living in rural/remote settings	Autism spectrum disorders, ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Behavioral addictions, Eating disorders	1	1	3	3	5	4	3	5	4	4	4
04/06/2020 15.15.30	Yes	41-50	Male	Singapore 	Public mental health outpatient clinic, Public mental health inpatient clinic	Adult psychiatrist	Yes	Yes	Segregation of inpatient and outpatient services leading to dyscontinuity of care. Drastic scale down of outpatient consults and redeployment of manpower affecting service provision to only the urgent.	7	Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing, e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Drug therapy monitoring, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	Less than 25%	4	Exclusively face-to-face	Phone (calls, texts), e-mail, Electronic health record	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Psycho-social rehabilitation	Less than 25%	2	Adult, More for the youths and tech enabled adult 	Patients in assisted living facilities, Caregivers of patients suffering with chronic conditions, Patients in school settings, Working adults.	Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Obsessive-compulsive disorder and related disorders	4	3	3	2	1	5	2	4	3	4	4
04/06/2020 15.27.21	Yes	51-60	Female	Brasil	Private mental health clinic	Adult psychiatrist, Old age psychiatrist	No	Yes	Lockdown	7	Exclusively remotely, using telecommunications	Videoconferencing	Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription	Yes, they were widely available BEFORE the emergency	More than 75%	5	Exclusively face-to-face					Adult, Elderly	Any	ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder	1	2	4	4	4	4	2	4	4	4	4
04/06/2020 15.28.57	Yes	41-50	Female	Singapore 	Public mental health outpatient clinic, Public mental health inpatient clinic	Adult psychiatrist, Old age psychiatrist	Yes	Yes	Block of outpatient services	6	Mixed, mostly face-to-face	Phone (calls, texts), e-mail	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Managing mental health emergency, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	Less than 25%	5	Mixed, mostly face-to-face	Phone (calls, texts), e-mail	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care	Less than 25%	3	Any	Patients in assisted living facilities, Patients in prison, Patients in school settings	Depressive disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Neurocognitive disorders	3	3	3	3	4	5	4	2	4	5	4
04/06/2020 15.32.04	Yes	41-50	Female	Brazil	Public mental health outpatient clinic, Public mental health inpatient clinic, Emergency department, Private mental health clinic	Adult psychiatrist	Yes	Yes	Block of outpatient services	3	Mixed, mostly face-to-face	Videoconferencing, Electronic health record	Require consultation from other specialists, Assessing/Monitoring patients already under my care, Managing mental health emergency, Drug therapy monitoring, Synchronous psychoterapy	Yes, they were widely available BEFORE the emergency	25-50%	5	Mixed, mostly face-to-face	Videoconferencing, Electronic health record	Synchronous psychoterapy	Less than 25%	5	Any	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Autism spectrum disorders, ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Behavioral addictions, Personality disorders, Eating disorders, Neurocognitive disorders	3	2	3	4	3	5	5	4	4	4	4
04/06/2020 15.43.15	Yes	31-40	Male	Brazil	Public mental health outpatient clinic, Public mental health inpatient clinic, Emergency department	Adult psychiatrist, Old age psychiatrist	No	Yes	Block of outpatient services	8	Exclusively face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Provide consultation to primary care/other specialist, Drug therapy prescription	No, I have used personal tools on my own initiative	Less than 25%	2	Exclusively face-to-face					Any	Patients living in rural/remote settings, Patients in school settings, Patients with necessity of drug monitoration	Autism spectrum disorders, ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Behavioral addictions, Personality disorders, Eating disorders, Neurocognitive disorders, Any	1	5	3	3	4	4	2	4	4	2	4
04/06/2020 16.08.27	Yes	>60	Male	Brazil	Private psychiatric office	Adult psychiatrist	No	Yes	Quarentine	7	Exclusively remotely, using telecommunications	Videoconferencing	Synchronous psychoterapy	No, I have used personal tools on my own initiative	25-50%	4	Exclusively face-to-face			Less than 25%	2	Adult			4	2	3	3	3	4	3	3	3	3	3
04/06/2020 16.37.15	Yes	>60	Male	Brazil	Private mental health clinic	Adult psychiatrist, Psychotherapist, Addiction counselor	No	Yes	Block of outpatient services	8	Exclusively remotely, using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	No, I have used personal tools on my own initiative	Less than 25%	4	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Assessing/Monitoring patients already under my care, Drug therapy monitoring	Less than 25%	2	Adult	Any	Any	1	2	1	3	3	3	2	2	3	3	4
04/06/2020 18.00.45	Yes	31-40	Female	Brasil	Private mental health clinic	Adult psychiatrist, Old age psychiatrist, Child & adolescent psychiatrist	No	Yes	Lockdown	8	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	No, I have used personal tools on my own initiative	Less than 25%	5	Exclusively face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Assessing/Monitoring patients already under my care, Drug therapy monitoring	Less than 25%	3	Adult	Patients living in rural/remote settings	Depressive disorders, Bipolar disorders, Panic disorder, Social anxiety	1	1	1	3	1	4	5	5	2	2	4
04/06/2020 19.46.26	Yes	>60	Female	Brazil 	Private mental health clinic	Psychologist, Psychotherapist, Psychoanalyst, Social worker	I do not know	Yes	Lockdown	5	Exclusively remotely, using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Provide consultation to primary care/other specialist, Require consultation from other specialists, Synchronous psychoterapy, Psycho-social rehabilitation	No, I have used personal tools on my own initiative	More than 75%	5	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing		Less than 25%	2	Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Bipolar disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Personality disorders, Eating disorders, Neurocognitive disorders, Any	4	2	3	4	4	4	4	4	4	5	5
04/06/2020 20.53.53	Yes	51-60	Female	Brazil	Public mental health outpatient clinic	Psychologist	Yes	Yes	Lockdown	10	Exclusively remotely, using telecommunications	Videoconferencing, Supported telemedicine system	Assessing/Monitoring patients already under my care, Managing mental health emergency, Synchronous psychoterapy, Psycho-social rehabilitation	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Exclusively face-to-face					Adult, Elderly	Patients in assisted living facilities, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Panic disorder, Social anxiety, Post-traumatic stress disorder, Neurocognitive disorders	2	4	3	4	5	5	3	4	4	4	4
04/06/2020 21.33.08	Yes	>60	Female	Brazil	Private mental health clinic	Adult psychiatrist, Psychotherapist	No	Yes	Patients wouldnt come to office	8	Mixed, mostly remotely using telecommunications	Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Synchronous psychoterapy	No, I have used personal tools on my own initiative	51-75%	5	Exclusively face-to-face					Adult	Patients in prison, Patients living in rural/remote settings, Any	Depressive disorders, Bipolar disorders, Panic disorder, Social anxiety	2	1	5	5	5	5	2	5	5	5	5
05/06/2020 1.49.04	Yes	31-40	Female	Brazil	Private mental health clinic	Adult psychiatrist	No	No			Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Supported telemedicine system	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	No, I have used personal tools on my own initiative	25-50%	5	Exclusively face-to-face					Adult	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	ADHD, Depressive disorders, Bipolar disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder	3	2	3	4	4	4	4	4	4	4	4
05/06/2020 10.43.15	Yes	31-40	Female	Nepal	Public mental health outpatient clinic, Public mental health inpatient clinic, Emergency department, Private mental health clinic	Adult psychiatrist, Old age psychiatrist, Child & adolescent psychiatrist, Psychiatry Resident	Yes	Yes	Lockdown	8	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy prescription	No, I have used personal tools on my own initiative	Less than 25%	5	Exclusively face-to-face	Phone (calls, texts)	Assessing/Monitoring patients already under my care	Less than 25%	4	Adult, Elderly	Any	Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Eating disorders, Neurocognitive disorders	2	3	2	3	4	5	4	5	5	3	4
05/06/2020 19.01.01	Yes	31-40	Female	Azerbaijan	Public mental health inpatient clinic, Private mental health clinic	Adult psychiatrist, Mental health counselor	Yes	Yes	Lockdown	7	Exclusively remotely, using telecommunications	Chat (Whatsapp, Telegram etc)	Synchronous psychoterapy	Yes, they were widely available BEFORE the emergency	25-50%	5	Mixed, mostly face-to-face	Chat (Whatsapp, Telegram etc)	Synchronous psychoterapy	Less than 25%	4	Adult	Patients in assisted living facilities	Depressive disorders	2	2	3	5	5	4	3	5	4	5	4
06/06/2020 5.50.21	Yes	41-50	Male	Singapore	Public mental health outpatient clinic, Public mental health inpatient clinic	Adult psychiatrist	Yes	Yes	Lockdown	7	Exclusively face-to-face	Phone (calls, texts), Electronic health record	Assessing/Monitoring patients already under my care	No, I have used personal tools on my own initiative	Less than 25%	1	Mixed, mostly face-to-face	Phone (calls, texts), Electronic health record	Assessing/Monitoring patients already under my care	Less than 25%	1	Child and adolescent	Patients in assisted living facilities, Patients living in rural/remote settings		1	5	3	3	1	4	5	2	1	1	1
06/06/2020 9.10.00	Yes	31-40	Male	Russia	Public mental health outpatient clinic	Adult psychiatrist	Yes	Yes	Transferring most of the staff to an inpatient COVID-19 service	9	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Synchronous psychoterapy	Yes, they were widely available BEFORE the emergency	25-50%	5	Exclusively face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Synchronous psychoterapy	Less than 25%	5	Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings	Any	3	3	3	5	5	5	2	4	4	4	4
07/06/2020 1.29.07	Yes	41-50	Male	Brasil	Private mental health clinic	Adult psychiatrist	I do not know	Yes	Lockdown	7	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients	No, I have used personal tools on my own initiative	25-50%	4	Exclusively face-to-face					Adult	Any	Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder	3	1	2	3	4	3	2	3	1	5	4
08/06/2020 18.25.07	Yes	>60	Male	USA	University Counseling Center	Psychologist	Yes	Yes	Lockdown	10	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing, e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Synchronous psychoterapy	Yes, they have been introduced and enabled DURING the emergency	More than 75%	4	Exclusively face-to-face	Phone (calls, texts), e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Synchronous psychoterapy	Less than 25%	4	Any	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Patients belonging to minority groups, Caregivers of patients suffering with chronic conditions	Autism spectrum disorders, ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Substance use disorders, Behavioral addictions, Personality disorders	4	5	4	3	2	5	4	5	4	4	4
09/06/2020 11.50.06	Yes	51-60	Male	Spain	Private mental health clinic	Adult psychiatrist	Yes	Yes	Lockdown	7	Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing, e-mail	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	Yes, they were widely available BEFORE the emergency	25-50%	5	Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing, e-mail	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	Less than 25%	5	Any	Patients living in rural/remote settings, Patients belonging to minority groups, Caregivers of patients suffering with chronic conditions, Patients in school settings, Any	Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Behavioral addictions, Personality disorders, Eating disorders	3	2	5	5	4	3	3	5	4	5	5
09/06/2020 11.54.41	Yes	51-60	Male	Ireland	Public mental health outpatient clinic	Child & adolescent psychiatrist	No	Yes	Lockdown	3	Mixed, mostly face-to-face	Videoconferencing, Supported telemedicine system	Assessing/Monitoring patients already under my care	Yes, they have been introduced and enabled DURING the emergency	25-50%	4	Exclusively face-to-face	Phone (calls, texts)	Assessing/Monitoring recent onset-patients	Less than 25%	1	Child and adolescent, Adolescents & adults	Any	Any	1	1	5	3	3	3	4	4	1	5	5
09/06/2020 11.58.20	Yes	51-60	Male	United Kingdom (Scotland)	Public mental health outpatient clinic	Adult psychiatrist	Yes	Yes	Lockdown	6	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing, e-mail	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	51-75%	5	Exclusively face-to-face	Phone (calls, texts), e-mail	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription, Psycho-social rehabilitation	Less than 25%	3	Child and adolescent, Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Patients belonging to minority groups, Caregivers of patients suffering with chronic conditions	Depressive disorders, Social anxiety, Obsessive-compulsive disorder and related disorders, Substance use disorders, Behavioral addictions, Neurocognitive disorders	3	1	3	3	5	5	3	5	5	5	5
09/06/2020 11.59.12	Yes	>60	Male	Norway	Private mental health clinic	Adult psychiatrist	Yes	No			Exclusively face-to-face	Phone (calls, texts)			Less than 25%		Exclusively face-to-face	Phone (calls, texts)		Less than 25%		Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Any	1	1	3	2	5	5	5	5	5	3	3
09/06/2020 12.16.58	Yes	>60	Male	UK	Public mental health outpatient clinic	Adult psychiatrist	Yes	Yes	Lockdown	8	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing	Assessing/Monitoring recent onset-patients	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Exclusively face-to-face	Phone (calls, texts)	Provide consultation to primary care/other specialist	Less than 25%	3	Adult	Patients living in rural/remote settings	Any	3	2	3	4	4	4	4	3	2	2	2
09/06/2020 13.37.16	Yes	20-30	Male	Colombia	Public mental health outpatient clinic	Adult psychiatrist	Yes	Yes	Lockdown	10			Provide consultation to primary care/other specialist	Yes, they were widely available BEFORE the emergency	25-50%	5																			
09/06/2020 13.54.17	Yes	41-50	Male	France	Private mental health clinic	Adult psychiatrist	No	No			Mixed, mostly remotely using telecommunications	Videoconferencing, Supported telemedicine system	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	Yes, they were widely available BEFORE the emergency	51-75%	5	Mixed, mostly face-to-face	Videoconferencing, Supported telemedicine system	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	Less than 25%	5	Any	Any	Autism spectrum disorders, ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Behavioral addictions, Personality disorders, Eating disorders	2	2	4	4	2	5	5	5	5	5	5
